Model,Accuracy,BalancedAcc,Precision,Recall,F1,ROC_AUC,PR_AUC
HistGradientBoosting (tuned),0.7998,0.7527,0.7406,0.6123,0.6703,0.8606,0.7791
Stacking Ensemble,0.7973,0.7491,0.7383,0.6049,0.665,0.8601,0.778
Gradient Boosting,0.7961,0.7472,0.7371,0.6013,0.6623,0.8576,0.7749
HistGradientBoosting,0.7952,0.7475,0.7325,0.6049,0.6627,0.855,0.7714
Voting Ensemble,0.7891,0.7387,0.7254,0.5885,0.6498,0.8538,0.765
Random Forest (tuned),0.7888,0.7346,0.7336,0.5729,0.6433,0.8505,0.7629
Decision Tree,0.7796,0.7268,0.7105,0.5692,0.6321,0.8341,0.7227
K-Nearest Neighbours,0.7863,0.7374,0.7167,0.5912,0.6479,0.8335,0.7262
Random Forest,0.7824,0.7418,0.6929,0.6205,0.6547,0.8301,0.7243
Logistic Regression,0.7732,0.7225,0.693,0.571,0.6261,0.8295,0.7249
PCA(13) + Logistic Regression,0.7726,0.7188,0.6976,0.5582,0.6202,0.8283,0.7238
Baseline - Majority Class,0.6675,0.5,0.0,0.0,0.0,0.5,0.3325
Baseline - Stratified Random,0.5376,0.4789,0.3042,0.3034,0.3038,0.4789,0.3239
