Threshold,Precision,Recall,F1,Contacted,Profit
0.05,0.3924,0.9991,0.5635,2778,125244.0
0.055,0.3961,0.9973,0.567,2747,125066.0
0.06,0.3981,0.9954,0.5687,2728,124864.0
0.065,0.4025,0.9936,0.5729,2693,124694.0
0.07,0.4049,0.9918,0.5751,2672,124496.0
0.075,0.408,0.9899,0.5778,2647,124306.0
0.08,0.4133,0.9899,0.5832,2613,124374.0
0.085,0.4178,0.9872,0.5871,2578,124084.0
0.09,0.4206,0.9808,0.5887,2544,123312.0
0.095,0.423,0.9798,0.5909,2527,123226.0
0.1,0.4252,0.9771,0.5926,2507,122906.0
0.105,0.4312,0.9734,0.5976,2463,122514.0
0.11,0.4363,0.9707,0.602,2427,122226.0
0.115,0.4443,0.9688,0.6092,2379,122082.0
0.12,0.4497,0.967,0.6139,2346,121908.0
0.125,0.4558,0.9643,0.619,2308,121624.0
0.13,0.462,0.9578,0.6233,2262,120876.0
0.135,0.4656,0.9551,0.626,2238,120564.0
0.14,0.4735,0.9514,0.6323,2192,120176.0
0.145,0.4781,0.9487,0.6357,2165,119870.0
0.15,0.4827,0.9468,0.6394,2140,119680.0
0.155,0.489,0.9404,0.6435,2098,118924.0
0.16,0.4961,0.934,0.648,2054,118172.0
0.165,0.5002,0.9248,0.6493,2017,117046.0
0.17,0.5071,0.9203,0.6539,1980,116520.0
0.175,0.5115,0.9184,0.657,1959,116322.0
0.18,0.5147,0.9166,0.6592,1943,116114.0
0.185,0.519,0.9129,0.6618,1919,115682.0
0.19,0.5223,0.9111,0.664,1903,115474.0
0.195,0.526,0.9093,0.6664,1886,115268.0
0.2,0.5289,0.9047,0.6676,1866,114708.0
0.205,0.5313,0.9019,0.6687,1852,114376.0
0.21,0.5351,0.8946,0.6696,1824,113472.0
0.215,0.5447,0.8882,0.6753,1779,112722.0
0.22,0.5487,0.8726,0.6737,1735,110770.0
0.225,0.5539,0.8662,0.6757,1706,109988.0
0.23,0.556,0.8643,0.6767,1696,109768.0
0.235,0.558,0.8598,0.6768,1681,109198.0
0.24,0.5622,0.8579,0.6792,1665,108990.0
0.245,0.5686,0.8543,0.6828,1639,108562.0
0.25,0.5708,0.8497,0.6829,1624,107992.0
0.255,0.5718,0.8469,0.6827,1616,107648.0
0.26,0.5745,0.8451,0.684,1605,107430.0
0.265,0.5748,0.8414,0.683,1597,106966.0
0.27,0.576,0.8405,0.6836,1592,106856.0
0.275,0.5777,0.835,0.6829,1577,106166.0
0.28,0.5791,0.8323,0.683,1568,105824.0
0.285,0.5798,0.8295,0.6825,1561,105478.0
0.29,0.5839,0.8258,0.6841,1543,105034.0
0.295,0.5845,0.8148,0.6807,1521,103638.0
0.3,0.5858,0.8075,0.679,1504,102712.0
0.305,0.5887,0.8057,0.6803,1493,102494.0
0.31,0.5939,0.8002,0.6818,1470,101820.0
0.315,0.596,0.7883,0.6788,1443,100314.0
0.32,0.6035,0.78,0.6805,1410,99300.0
0.325,0.6069,0.7727,0.6798,1389,98382.0
0.33,0.6089,0.769,0.6796,1378,97924.0
0.335,0.6127,0.7626,0.6795,1358,97124.0
0.34,0.6166,0.7608,0.6812,1346,96908.0
0.345,0.6211,0.7544,0.6813,1325,96110.0
0.35,0.6223,0.7507,0.6805,1316,95648.0
0.355,0.631,0.7415,0.6818,1282,94516.0
0.36,0.6367,0.7342,0.682,1258,93604.0
0.365,0.6369,0.7314,0.6809,1253,93254.0
0.37,0.6366,0.7241,0.6775,1241,92318.0
0.375,0.6438,0.7223,0.6808,1224,92112.0
0.38,0.6484,0.7168,0.6809,1206,91428.0
