Decile,Customers,Buyers,BuyRate,MinProba,Lift,CumBuyers,CumCapture_%,Profit,CumProfit
1,329,304,92.4,0.819601540656684,2.78,304,27.9,35822.0,35822.0
2,328,225,68.6,0.636999495256999,2.06,529,48.5,26344.0,62166.0
3,328,176,53.66,0.46111010879210235,1.61,705,64.6,20464.0,82630.0
4,328,113,34.45,0.35100868024803367,1.04,818,75.0,12904.0,95534.0
5,328,114,34.76,0.24480084202432478,1.05,932,85.4,13024.0,108558.0
6,328,70,21.34,0.17436196353696487,0.64,1002,91.8,7744.0,116302.0
7,328,48,14.63,0.125922858714586,0.44,1050,96.2,5104.0,121406.0
8,328,30,9.15,0.07848112374258062,0.28,1080,99.0,2944.0,124350.0
9,328,11,3.35,0.025249499390557654,0.1,1091,100.0,664.0,125014.0
10,328,0,0.0,0.0016125502739332512,0.0,1091,100.0,-656.0,124358.0
