Epoch,TrainLoss,ValLoss,TrainAUC,ValAUC,LR
1,0.73872,0.65241,0.84413,0.84049,0.002
2,0.67379,0.63795,0.85142,0.84744,0.002
3,0.66595,0.63163,0.85571,0.85117,0.002
4,0.65006,0.62974,0.85818,0.8517,0.002
5,0.6457,0.62615,0.86111,0.85368,0.002
6,0.64462,0.62601,0.86182,0.85344,0.002
7,0.64385,0.62293,0.86272,0.85472,0.002
8,0.63761,0.62268,0.86427,0.85456,0.002
9,0.63769,0.62283,0.86576,0.85432,0.002
10,0.63093,0.6168,0.86606,0.85724,0.002
11,0.62984,0.61751,0.86829,0.85739,0.002
12,0.63074,0.61083,0.86903,0.86042,0.002
13,0.63015,0.61111,0.86899,0.86035,0.002
14,0.62476,0.60756,0.87034,0.86197,0.002
15,0.62687,0.61008,0.86988,0.86078,0.002
16,0.62233,0.60576,0.87127,0.8631,0.002
17,0.62077,0.60694,0.8726,0.8628,0.002
18,0.62003,0.6062,0.87337,0.86279,0.002
19,0.61848,0.60646,0.87265,0.86289,0.002
20,0.61364,0.60617,0.87433,0.86298,0.002
21,0.61892,0.6081,0.87414,0.86165,0.002
22,0.61704,0.60551,0.8744,0.86298,0.001
23,0.61162,0.60356,0.87564,0.86389,0.001
24,0.6108,0.60507,0.87593,0.86361,0.001
25,0.61094,0.60455,0.87637,0.8636,0.001
26,0.60503,0.60416,0.87691,0.86359,0.001
27,0.61749,0.60548,0.8769,0.86289,0.001
28,0.6109,0.60281,0.87727,0.8644,0.001
29,0.60363,0.60364,0.87744,0.86408,0.001
30,0.60785,0.60335,0.87764,0.86408,0.001
31,0.60633,0.60339,0.87803,0.86379,0.001
32,0.60135,0.60357,0.87839,0.86395,0.001
33,0.61229,0.60299,0.87897,0.86421,0.001
34,0.60456,0.60473,0.8787,0.86305,0.0005
35,0.59802,0.60396,0.87911,0.86345,0.0005
36,0.60693,0.60265,0.87964,0.86382,0.0005
37,0.60047,0.60137,0.87963,0.86462,0.0005
38,0.60068,0.60151,0.87992,0.86454,0.0005
39,0.60073,0.60142,0.88002,0.86459,0.0005
40,0.59902,0.60171,0.87994,0.86435,0.0005
41,0.59971,0.60061,0.88016,0.86483,0.0005
42,0.59672,0.60158,0.8804,0.86457,0.0005
43,0.599,0.60137,0.88071,0.86462,0.0005
44,0.60103,0.60081,0.88065,0.8648,0.0005
45,0.60002,0.60021,0.88086,0.86527,0.0005
46,0.59779,0.60181,0.88106,0.86445,0.0005
47,0.6049,0.60293,0.88116,0.86412,0.0005
48,0.59733,0.60252,0.88141,0.8644,0.0005
49,0.60074,0.60267,0.88156,0.86428,0.0005
50,0.59987,0.60154,0.88181,0.86474,0.0005
51,0.6013,0.60159,0.88208,0.86447,0.00025
52,0.59823,0.60091,0.88197,0.86495,0.00025
53,0.5986,0.60079,0.88222,0.86492,0.00025
54,0.59561,0.60219,0.8823,0.86437,0.00025
55,0.59827,0.60187,0.88242,0.86435,0.00025
56,0.59956,0.60158,0.88244,0.86428,0.00025
57,0.59387,0.60266,0.88248,0.8641,0.00012
58,0.59795,0.60219,0.88266,0.86427,0.00012
59,0.59341,0.6018,0.88273,0.86426,0.00012
60,0.59222,0.60222,0.88272,0.86421,0.00012
