Feature,Level,EmbX,EmbY,BuyRate_%
Occupation,Clerical,0.6971,-0.2521,23.72
Occupation,Management,-0.0232,-0.8926,37.38
Occupation,Manual,-0.6044,1.2233,23.67
Occupation,Professional,1.1164,0.348,44.37
Occupation,Skilled Manual,-1.1859,-0.4266,28.11
CountryRegionName,Australia,0.3762,-0.9429,38.23
CountryRegionName,Canada,-0.9421,0.0493,32.69
CountryRegionName,France,1.056,0.0249,29.23
CountryRegionName,Germany,0.5289,0.6077,34.62
CountryRegionName,United Kingdom,-0.3938,0.9356,35.93
CountryRegionName,United States,-0.6252,-0.6746,31.03
Education,Partial High School,-1.1276,-0.2494,23.21
Education,High School,-1.7633,0.2071,30.47
Education,Partial College,0.909,1.4755,33.86
Education,Bachelors,1.075,0.2526,39.32
Education,Graduate Degree,0.9069,-1.6858,29.99
NumberChildrenAtHome,0,0.4811,1.0015,19.44
NumberChildrenAtHome,1,-1.1853,0.4475,24.77
NumberChildrenAtHome,2,-1.8084,0.2364,59.04
NumberChildrenAtHome,3,-0.7212,-1.4028,69.44
NumberChildrenAtHome,4,1.674,-0.8319,72.53
NumberChildrenAtHome,5,1.5598,0.5493,83.91
TotalChildren,0,-0.5344,0.2246,24.81
TotalChildren,1,0.9227,-0.5608,23.74
TotalChildren,2,-0.9957,-0.8305,26.34
TotalChildren,3,-1.0333,-0.0924,39.71
TotalChildren,4,1.4682,-0.3875,47.56
TotalChildren,5,0.1725,1.6466,57.68
NumberCarsOwned,0,0.3772,0.353,29.67
NumberCarsOwned,1,-0.0632,0.7962,31.01
NumberCarsOwned,2,-0.3334,-0.0226,24.53
NumberCarsOwned,3,-1.0811,-0.5269,60.25
NumberCarsOwned,4,1.1005,-0.5997,64.15
